Tank,#,Date-Time (HST),Temperature (°C) ,Light (lux) 
2,1,06/30/2024 19:00:00,26.51,288.24
2,2,06/30/2024 19:30:00,26.34,11.61
2,3,06/30/2024 20:00:00,26.34,0.00
2,4,06/30/2024 20:30:00,26.17,0.00
2,5,06/30/2024 21:00:00,26.08,0.00
2,6,06/30/2024 21:30:00,26.04,0.00
2,7,06/30/2024 22:00:00,25.87,0.00
2,8,06/30/2024 22:30:00,25.82,0.00
2,9,06/30/2024 23:00:00,25.82,0.00
2,10,06/30/2024 23:30:00,25.74,0.00
2,11,07/01/2024 00:00:00,25.74,0.00
2,12,07/01/2024 00:30:00,25.78,0.00
2,13,07/01/2024 01:00:00,25.69,0.00
2,14,07/01/2024 01:30:00,25.65,0.00
2,15,07/01/2024 02:00:00,25.61,0.00
2,16,07/01/2024 02:30:00,25.61,0.00
2,17,07/01/2024 03:00:00,25.61,0.00
2,18,07/01/2024 03:30:00,25.65,0.00
2,19,07/01/2024 04:00:00,25.65,0.21
2,20,07/01/2024 04:30:00,25.65,0.00
2,21,07/01/2024 05:00:00,25.65,0.00
2,22,07/01/2024 05:30:00,25.57,1.05
2,23,07/01/2024 06:00:00,25.61,197.84
2,24,07/01/2024 06:30:00,25.69,935.04
2,25,07/01/2024 07:00:00,25.87,2514.56
2,26,07/01/2024 07:30:00,26.21,2031.36
2,27,07/01/2024 08:00:00,26.21,2256.64
2,28,07/01/2024 08:30:00,26.51,4312.32
2,29,07/01/2024 09:00:00,26.47,4217.60
2,30,07/01/2024 09:30:00,26.55,5491.20
2,31,07/01/2024 10:00:00,26.55,3696.64
2,32,07/01/2024 10:30:00,26.60,2890.24
2,33,07/01/2024 11:00:00,26.94,11955.20
2,34,07/01/2024 11:30:00,27.45,23951.36
2,35,07/01/2024 12:00:00,27.45,3156.48
2,36,07/01/2024 12:30:00,27.24,3649.28
2,37,07/01/2024 13:00:00,27.20,5240.32
2,38,07/01/2024 13:30:00,27.15,5644.80
2,39,07/01/2024 14:00:00,27.24,6983.68
2,40,07/01/2024 14:30:00,27.28,7951.36
2,41,07/01/2024 15:00:00,27.37,5775.36
2,42,07/01/2024 15:30:00,27.28,5593.60
2,43,07/01/2024 16:00:00,27.45,15769.60
2,44,07/01/2024 16:30:00,27.37,4194.56
2,45,07/01/2024 17:00:00,27.37,2792.96
2,46,07/01/2024 17:30:00,27.15,1291.52
2,47,07/01/2024 18:00:00,27.20,3905.28
2,48,07/01/2024 18:30:00,26.98,593.28
2,49,07/01/2024 19:00:00,26.81,264.48
2,50,07/01/2024 19:30:00,26.68,9.25
2,51,07/01/2024 20:00:00,26.60,0.00
2,52,07/01/2024 20:30:00,26.42,0.00
2,53,07/01/2024 21:00:00,26.30,0.00
2,54,07/01/2024 21:30:00,26.17,0.00
2,55,07/01/2024 22:00:00,26.08,0.21
2,56,07/01/2024 22:30:00,25.99,0.00
2,57,07/01/2024 23:00:00,25.91,0.00
2,58,07/01/2024 23:30:00,25.87,0.00
2,59,07/02/2024 00:00:00,25.78,0.00
2,60,07/02/2024 00:30:00,25.78,0.00
2,61,07/02/2024 01:00:00,25.69,0.00
2,62,07/02/2024 01:30:00,25.65,0.00
2,63,07/02/2024 02:00:00,25.65,0.00
2,64,07/02/2024 02:30:00,25.57,0.00
2,65,07/02/2024 03:00:00,25.61,0.00
2,66,07/02/2024 03:30:00,25.57,0.00
2,67,07/02/2024 04:00:00,25.48,0.00
2,68,07/02/2024 04:30:00,25.48,0.00
2,69,07/02/2024 05:00:00,25.44,0.00
2,70,07/02/2024 05:30:00,25.44,0.63
2,71,07/02/2024 06:00:00,25.44,135.16
2,72,07/02/2024 06:30:00,25.39,414.08
2,73,07/02/2024 07:00:00,25.52,2734.08
2,74,07/02/2024 07:30:00,25.87,1836.16
2,75,07/02/2024 08:00:00,26.04,3307.52
2,76,07/02/2024 08:30:00,26.08,4372.48
2,77,07/02/2024 09:00:00,26.30,3388.16
2,78,07/02/2024 09:30:00,26.42,2164.48
2,79,07/02/2024 10:00:00,26.60,5583.36
2,80,07/02/2024 10:30:00,26.77,7703.04
2,81,07/02/2024 11:00:00,26.72,6348.80
2,82,07/02/2024 11:30:00,26.98,12349.44
2,83,07/02/2024 12:00:00,27.37,16522.24
2,84,07/02/2024 12:30:00,27.07,14817.28
2,85,07/02/2024 13:00:00,27.45,11811.84
2,86,07/02/2024 13:30:00,27.37,2450.56
2,87,07/02/2024 14:00:00,27.88,16071.68
2,88,07/02/2024 14:30:00,27.50,8087.04
2,89,07/02/2024 15:00:00,27.50,8376.32
2,90,07/02/2024 15:30:00,27.41,6341.12
2,91,07/02/2024 16:00:00,27.28,5109.76
2,92,07/02/2024 16:30:00,27.15,4215.04
2,93,07/02/2024 17:00:00,27.07,2973.44
2,94,07/02/2024 17:30:00,26.94,2398.08
1,1,06/30/2024 19:00:00,26.42,389.76
1,2,06/30/2024 19:30:00,26.34,14.05
1,3,06/30/2024 20:00:00,26.38,0.00
1,4,06/30/2024 20:30:00,26.34,0.00
1,5,06/30/2024 21:00:00,26.25,0.00
1,6,06/30/2024 21:30:00,26.21,0.00
1,7,06/30/2024 22:00:00,26.12,0.00
1,8,06/30/2024 22:30:00,26.04,0.00
1,9,06/30/2024 23:00:00,26.04,0.00
1,10,06/30/2024 23:30:00,26.08,0.00
1,11,07/01/2024 00:00:00,26.08,0.00
1,12,07/01/2024 00:30:00,26.17,0.00
1,13,07/01/2024 01:00:00,26.04,0.00
1,14,07/01/2024 01:30:00,25.99,0.00
1,15,07/01/2024 02:00:00,25.95,0.00
1,16,07/01/2024 02:30:00,25.99,0.00
1,17,07/01/2024 03:00:00,25.99,0.00
1,18,07/01/2024 03:30:00,26.04,0.00
1,19,07/01/2024 04:00:00,26.04,0.00
1,20,07/01/2024 04:30:00,26.04,0.00
1,21,07/01/2024 05:00:00,26.04,0.00
1,22,07/01/2024 05:30:00,25.99,1.88
1,23,07/01/2024 06:00:00,25.95,341.76
1,24,07/01/2024 06:30:00,26.08,1474.56
1,25,07/01/2024 07:00:00,26.30,3914.24
1,26,07/01/2024 07:30:00,26.68,3403.52
1,27,07/01/2024 08:00:00,26.60,3155.20
1,28,07/01/2024 08:30:00,27.50,8547.84
1,29,07/01/2024 09:00:00,26.94,6333.44
1,30,07/01/2024 09:30:00,27.02,8184.32
1,31,07/01/2024 10:00:00,26.94,4951.04
1,32,07/01/2024 10:30:00,26.94,4824.32
1,33,07/01/2024 11:00:00,27.41,17254.40
1,34,07/01/2024 11:30:00,27.88,24268.80
1,35,07/01/2024 12:00:00,27.75,4944.64
1,36,07/01/2024 12:30:00,27.45,5273.60
1,37,07/01/2024 13:00:00,27.37,7411.20
1,38,07/01/2024 13:30:00,27.37,10385.92
1,39,07/01/2024 14:00:00,27.41,10009.60
1,40,07/01/2024 14:30:00,27.41,11581.44
1,41,07/01/2024 15:00:00,27.45,9474.56
1,42,07/01/2024 15:30:00,27.84,16757.76
1,43,07/01/2024 16:00:00,27.37,4659.20
1,44,07/01/2024 16:30:00,27.24,3541.76
1,45,07/01/2024 17:00:00,27.20,3649.28
1,46,07/01/2024 17:30:00,27.07,1785.60
1,47,07/01/2024 18:00:00,27.11,8317.44
1,48,07/01/2024 18:30:00,26.85,997.76
1,49,07/01/2024 19:00:00,26.68,452.80
1,50,07/01/2024 19:30:00,26.55,13.84
1,51,07/01/2024 20:00:00,26.42,0.00
1,52,07/01/2024 20:30:00,26.34,0.00
1,53,07/01/2024 21:00:00,26.25,0.00
1,54,07/01/2024 21:30:00,26.17,0.00
1,55,07/01/2024 22:00:00,26.12,0.00
1,56,07/01/2024 22:30:00,26.04,0.00
1,57,07/01/2024 23:00:00,25.99,0.00
1,58,07/01/2024 23:30:00,25.95,0.00
1,59,07/02/2024 00:00:00,25.91,0.00
1,60,07/02/2024 00:30:00,25.87,0.00
1,61,07/02/2024 01:00:00,25.91,0.00
1,62,07/02/2024 01:30:00,25.82,0.00
1,63,07/02/2024 02:00:00,25.82,0.00
1,64,07/02/2024 02:30:00,25.87,0.00
1,65,07/02/2024 03:00:00,25.78,0.00
1,66,07/02/2024 03:30:00,25.82,0.00
1,67,07/02/2024 04:00:00,25.78,0.00
1,68,07/02/2024 04:30:00,25.74,0.00
1,69,07/02/2024 05:00:00,25.69,0.00
1,70,07/02/2024 05:30:00,25.74,1.67
1,71,07/02/2024 06:00:00,25.74,257.20
1,72,07/02/2024 06:30:00,25.69,765.76
1,73,07/02/2024 07:00:00,26.08,5655.04
1,74,07/02/2024 07:30:00,26.55,11069.44
1,75,07/02/2024 08:00:00,26.60,7815.68
1,76,07/02/2024 08:30:00,26.68,8829.44
1,77,07/02/2024 09:00:00,27.88,20664.32
1,78,07/02/2024 09:30:00,27.67,5288.96
1,79,07/02/2024 10:00:00,27.63,16000.00
1,80,07/02/2024 10:30:00,27.75,16798.72
1,81,07/02/2024 11:00:00,27.45,12549.12
1,82,07/02/2024 11:30:00,27.67,19671.04
1,83,07/02/2024 12:00:00,27.93,21790.72
1,84,07/02/2024 12:30:00,27.54,20177.92
1,85,07/02/2024 13:00:00,27.75,16133.12
1,86,07/02/2024 13:30:00,27.58,3417.60
1,87,07/02/2024 14:00:00,28.01,21463.04
1,88,07/02/2024 14:30:00,27.67,12072.96
1,89,07/02/2024 15:00:00,27.67,11714.56
1,90,07/02/2024 15:30:00,27.45,8284.16
1,91,07/02/2024 16:00:00,27.32,7170.56
1,92,07/02/2024 16:30:00,27.20,5939.20
1,93,07/02/2024 17:00:00,27.02,4263.68
1,94,07/02/2024 17:30:00,26.94,3349.76
