#,Date-Time (HST),Temperature (°C) ,Light (lux) 
1,06/30/2024 19:00:00,26.51,288.24
2,06/30/2024 19:30:00,26.34,11.61
3,06/30/2024 20:00:00,26.34,0.00
4,06/30/2024 20:30:00,26.17,0.00
5,06/30/2024 21:00:00,26.08,0.00
6,06/30/2024 21:30:00,26.04,0.00
7,06/30/2024 22:00:00,25.87,0.00
8,06/30/2024 22:30:00,25.82,0.00
9,06/30/2024 23:00:00,25.82,0.00
10,06/30/2024 23:30:00,25.74,0.00
11,07/01/2024 00:00:00,25.74,0.00
12,07/01/2024 00:30:00,25.78,0.00
13,07/01/2024 01:00:00,25.69,0.00
14,07/01/2024 01:30:00,25.65,0.00
15,07/01/2024 02:00:00,25.61,0.00
16,07/01/2024 02:30:00,25.61,0.00
17,07/01/2024 03:00:00,25.61,0.00
18,07/01/2024 03:30:00,25.65,0.00
19,07/01/2024 04:00:00,25.65,0.21
20,07/01/2024 04:30:00,25.65,0.00
21,07/01/2024 05:00:00,25.65,0.00
22,07/01/2024 05:30:00,25.57,1.05
23,07/01/2024 06:00:00,25.61,197.84
24,07/01/2024 06:30:00,25.69,935.04
25,07/01/2024 07:00:00,25.87,2514.56
26,07/01/2024 07:30:00,26.21,2031.36
27,07/01/2024 08:00:00,26.21,2256.64
28,07/01/2024 08:30:00,26.51,4312.32
29,07/01/2024 09:00:00,26.47,4217.60
30,07/01/2024 09:30:00,26.55,5491.20
31,07/01/2024 10:00:00,26.55,3696.64
32,07/01/2024 10:30:00,26.60,2890.24
33,07/01/2024 11:00:00,26.94,11955.20
34,07/01/2024 11:30:00,27.45,23951.36
35,07/01/2024 12:00:00,27.45,3156.48
36,07/01/2024 12:30:00,27.24,3649.28
37,07/01/2024 13:00:00,27.20,5240.32
38,07/01/2024 13:30:00,27.15,5644.80
39,07/01/2024 14:00:00,27.24,6983.68
40,07/01/2024 14:30:00,27.28,7951.36
41,07/01/2024 15:00:00,27.37,5775.36
42,07/01/2024 15:30:00,27.28,5593.60
43,07/01/2024 16:00:00,27.45,15769.60
44,07/01/2024 16:30:00,27.37,4194.56
45,07/01/2024 17:00:00,27.37,2792.96
46,07/01/2024 17:30:00,27.15,1291.52
47,07/01/2024 18:00:00,27.20,3905.28
48,07/01/2024 18:30:00,26.98,593.28
49,07/01/2024 19:00:00,26.81,264.48
50,07/01/2024 19:30:00,26.68,9.25
51,07/01/2024 20:00:00,26.60,0.00
52,07/01/2024 20:30:00,26.42,0.00
