#,Date-Time (HST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,06/29/2024 12:00:00,30.33,3173.12,,,,
2,06/29/2024 12:30:00,28.70,3219.20,,,,
3,06/29/2024 13:00:00,28.01,522.08,,,,
4,06/29/2024 13:30:00,28.18,4067.84,,,,
5,06/29/2024 14:00:00,27.67,1651.20,,,,
6,06/29/2024 14:30:00,27.58,2010.88,,,,
7,06/29/2024 15:00:00,27.32,1468.16,,,,
8,06/29/2024 15:30:00,27.41,1064.64,,,,
9,06/29/2024 16:00:00,27.20,912.64,,,,
10,06/29/2024 16:30:00,27.02,503.68,,,,
11,06/29/2024 17:00:00,26.90,824.00,,,,
12,06/29/2024 17:30:00,26.85,535.20,,,,
13,06/29/2024 18:00:00,26.68,409.60,,,,
14,06/29/2024 18:30:00,26.60,395.52,,,,
15,06/29/2024 19:00:00,26.51,85.04,,,,
16,06/29/2024 19:30:00,26.34,3.08,,,,
17,06/29/2024 20:00:00,26.25,0.00,,,,
18,06/29/2024 20:30:00,26.21,0.00,,,,
19,06/29/2024 21:00:00,26.17,0.00,,,,
20,06/29/2024 21:30:00,26.12,0.00,,,,
21,06/29/2024 22:00:00,26.04,0.00,,,,
22,06/29/2024 22:30:00,25.95,0.00,,,,
23,06/29/2024 23:00:00,25.95,0.00,,,,
24,06/29/2024 23:30:00,25.91,0.00,,,,
25,06/30/2024 00:00:00,25.78,0.00,,,,
26,06/30/2024 00:30:00,25.78,0.00,,,,
27,06/30/2024 01:00:00,25.82,0.00,,,,
28,06/30/2024 01:30:00,25.78,0.00,,,,
29,06/30/2024 02:00:00,25.78,0.00,,,,
30,06/30/2024 02:30:00,25.78,0.00,,,,
31,06/30/2024 03:00:00,25.69,0.00,,,,
32,06/30/2024 03:30:00,25.65,0.00,,,,
33,06/30/2024 04:00:00,25.61,0.00,,,,
34,06/30/2024 04:30:00,25.52,0.00,,,,
35,06/30/2024 05:00:00,25.52,0.00,,,,
36,06/30/2024 05:30:00,25.52,0.20,,,,
37,06/30/2024 06:00:00,25.52,70.56,,,,
38,06/30/2024 06:30:00,25.57,220.56,,,,
39,06/30/2024 07:00:00,25.74,550.08,,,,
40,06/30/2024 07:30:00,25.99,4357.12,,,,
41,06/30/2024 08:00:00,26.30,7413.76,,,,
42,06/30/2024 08:30:00,26.60,3841.28,,,,
43,06/30/2024 09:00:00,26.81,2723.84,,,,
44,06/30/2024 09:30:00,27.28,7183.36,,,,
45,06/30/2024 10:00:00,27.54,7065.60,,,,
46,06/30/2024 10:30:00,27.88,7183.36,,,,
47,06/30/2024 11:00:00,28.10,4136.96,,,,
48,06/30/2024 11:30:00,28.18,5491.20,,,,
49,06/30/2024 12:00:00,28.23,4564.48,,,,
50,06/30/2024 12:30:00,28.23,3824.64,,,,
51,06/30/2024 13:00:00,28.31,4600.32,,,,
52,06/30/2024 13:30:00,28.14,1214.40,,,,
53,06/30/2024 14:00:00,28.05,2273.92,,,,
54,06/30/2024 14:30:00,27.93,918.40,,,,
55,06/30/2024 15:00:00,27.71,847.04,,,,
56,06/30/2024 15:30:00,27.54,1523.84,,,,
57,06/30/2024 16:00:00,27.37,756.16,,,,
58,06/30/2024 16:30:00,27.24,896.32,,,,
59,06/30/2024 17:00:00,27.07,1124.80,,,,
60,06/30/2024 17:30:00,26.85,433.28,,,,
61,06/30/2024 18:00:00,26.72,458.40,,,,
62,06/30/2024 18:30:00,26.60,280.80,,,,
63,06/30/2024 19:00:00,26.51,92.40,,,,
64,06/30/2024 19:30:00,26.38,3.08,,,,
65,06/30/2024 20:00:00,26.25,0.00,,,,
66,06/30/2024 20:30:00,26.25,0.00,,,,
67,06/30/2024 21:00:00,26.21,0.00,,,,
68,06/30/2024 21:30:00,26.08,0.00,,,,
69,06/30/2024 22:00:00,26.04,0.00,,,,
70,06/30/2024 22:30:00,25.99,0.00,,,,
71,06/30/2024 23:00:00,25.99,0.00,,,,
72,06/30/2024 23:30:00,25.95,0.00,,,,
73,07/01/2024 00:00:00,25.95,0.00,,,,
74,07/01/2024 00:30:00,25.99,0.00,,,,
75,07/01/2024 01:00:00,25.95,0.00,,,,
76,07/01/2024 01:30:00,25.91,0.00,,,,
77,07/01/2024 02:00:00,25.87,0.00,,,,
78,07/01/2024 02:30:00,25.91,0.00,,,,
79,07/01/2024 03:00:00,25.87,0.00,,,,
80,07/01/2024 03:30:00,25.87,0.00,,,,
81,07/01/2024 04:00:00,25.78,0.00,,,,
82,07/01/2024 04:30:00,25.78,0.00,,,,
83,07/01/2024 05:00:00,25.82,0.00,,,,
84,07/01/2024 05:30:00,25.74,0.20,,,,
85,07/01/2024 06:00:00,25.74,73.88,,,,
86,07/01/2024 06:30:00,25.82,307.28,,,,
87,07/01/2024 07:00:00,26.17,711.04,,,,
88,07/01/2024 07:30:00,26.51,727.04,,,,
89,07/01/2024 08:00:00,26.47,711.04,,,,
90,07/01/2024 08:30:00,26.72,2909.44,,,,
91,07/01/2024 09:00:00,26.64,1389.44,,,,
92,07/01/2024 09:30:00,26.64,2466.56,,,,
93,07/01/2024 10:00:00,26.60,1132.80,,,,
94,07/01/2024 10:30:00,26.60,1126.40,,,,
95,07/01/2024 11:00:00,26.85,2078.72,,,,
96,07/01/2024 11:30:00,27.37,5176.32,,,,
97,07/01/2024 12:00:00,27.20,1089.28,,,,
98,07/01/2024 12:30:00,27.02,1175.68,,,,
99,07/01/2024 13:00:00,27.37,5882.88,,,,
100,07/01/2024 13:30:00,27.50,7321.60,,,,
101,07/01/2024 14:00:00,27.20,2195.20,,,,
102,07/01/2024 14:30:00,27.24,6062.08,,,,
103,07/01/2024 15:00:00,27.32,4643.84,,,,
104,07/01/2024 15:30:00,27.24,1882.88,,,,
105,07/01/2024 16:00:00,27.07,1987.84,,,,
106,07/01/2024 16:30:00,26.98,1534.72,,,,
107,07/01/2024 17:00:00,26.90,1167.36,,,,
108,07/01/2024 17:30:00,26.68,680.32,,,,
109,07/01/2024 18:00:00,26.55,490.40,,,,
110,07/01/2024 18:30:00,26.38,218.72,,,,
111,07/01/2024 19:00:00,26.21,100.64,,,,
112,07/01/2024 19:30:00,26.08,2.87,,,,
113,07/01/2024 20:00:00,25.99,0.00,,,,
114,07/01/2024 20:30:00,25.87,0.00,,,,
115,07/01/2024 21:00:00,25.78,0.00,,,,
116,07/01/2024 21:30:00,25.78,0.00,,,,
117,07/01/2024 22:00:00,25.74,0.00,,,,
118,07/01/2024 22:30:00,25.69,0.00,,,,
119,07/01/2024 23:00:00,25.69,0.00,,,,
120,07/01/2024 23:30:00,25.61,0.00,,,,
121,07/02/2024 00:00:00,25.57,0.00,,,,
122,07/02/2024 00:30:00,25.57,0.00,,,,
123,07/02/2024 01:00:00,25.52,0.00,,,,
124,07/02/2024 01:30:00,25.48,0.00,,,,
125,07/02/2024 02:00:00,25.52,0.00,,,,
126,07/02/2024 02:30:00,25.48,0.00,,,,
127,07/02/2024 03:00:00,25.44,0.00,,,,
128,07/02/2024 03:30:00,25.39,0.00,,,,
129,07/02/2024 04:00:00,25.35,0.00,,,,
130,07/02/2024 04:30:00,25.39,0.00,,,,
131,07/02/2024 05:00:00,25.35,0.00,,,,
132,07/02/2024 05:30:00,25.35,0.20,,,,
133,07/02/2024 06:00:00,25.35,57.36,,,,
134,07/02/2024 06:30:00,25.31,172.48,,,,
135,07/02/2024 07:00:00,25.52,715.20,,,,
136,07/02/2024 07:30:00,25.99,2405.76,,,,
137,07/02/2024 08:00:00,26.12,1756.16,,,,
138,07/02/2024 08:30:00,26.12,1690.88,,,,
139,07/02/2024 09:00:00,26.38,3792.64,,,,
140,07/02/2024 09:30:00,26.47,1166.72,,,,
141,07/02/2024 10:00:00,26.55,2400.64,,,,
142,07/02/2024 10:30:00,26.72,4153.60,,,,
143,07/02/2024 11:00:00,26.64,2704.64,,,,
144,07/02/2024 11:30:00,27.45,10961.92,,,,
145,07/02/2024 12:00:00,28.18,6789.12,,,,
146,07/02/2024 12:30:00,26.94,4084.48,,,,
147,07/02/2024 13:00:00,27.20,3321.60,,,,
148,07/02/2024 13:30:00,27.15,770.56,,,,
149,07/02/2024 14:00:00,27.20,3307.52,,,,
150,07/02/2024 14:30:00,26.85,2496.00,,,,
151,07/02/2024 15:00:00,26.85,2197.12,,,,
152,07/02/2024 15:30:00,26.77,1527.04,,,,
153,07/02/2024 16:00:00,26.81,1393.28,,,,
154,07/02/2024 16:30:00,26.64,1178.24,,,,
155,07/02/2024 17:00:00,26.60,848.32,,,,
156,07/02/2024 17:30:00,26.51,673.92,,,,
157,07/02/2024 18:00:00,26.38,465.76,,,,
158,07/02/2024 18:30:00,26.21,212.96,,,,
159,07/02/2024 19:00:00,26.04,77.54,,,,
160,07/02/2024 19:30:00,25.95,1.64,,,,
161,07/02/2024 20:00:00,25.82,0.00,,,,
162,07/02/2024 20:30:00,25.74,0.00,,,,
163,07/02/2024 21:00:00,25.65,0.00,,,,
164,07/02/2024 21:30:00,25.61,0.00,,,,
165,07/02/2024 22:00:00,25.61,0.00,,,,
166,07/02/2024 22:30:00,25.52,0.00,,,,
167,07/02/2024 23:00:00,25.52,0.00,,,,
168,07/02/2024 23:30:00,25.52,0.00,,,,
169,07/03/2024 00:00:00,25.52,0.00,,,,
170,07/03/2024 00:30:00,25.48,0.00,,,,
171,07/03/2024 01:00:00,25.44,0.00,,,,
172,07/03/2024 01:30:00,25.44,0.00,,,,
173,07/03/2024 02:00:00,25.44,0.00,,,,
174,07/03/2024 02:30:00,25.39,0.00,,,,
175,07/03/2024 03:00:00,25.39,0.00,,,,
176,07/03/2024 03:30:00,25.44,0.00,,,,
177,07/03/2024 04:00:00,25.57,0.00,,,,
178,07/03/2024 04:30:00,25.65,0.00,,,,
179,07/03/2024 05:00:00,25.74,0.00,,,,
180,07/03/2024 05:30:00,25.74,0.20,,,,
181,07/03/2024 06:00:00,25.78,78.82,,,,
182,07/03/2024 06:30:00,25.87,235.36,,,,
183,07/03/2024 07:00:00,25.91,326.40,,,,
184,07/03/2024 07:30:00,26.08,1963.52,,,,
185,07/03/2024 08:00:00,26.72,6461.44,,,,
186,07/03/2024 08:30:00,27.54,17489.92,,,,
187,07/03/2024 08:59:56,,,Logged,,,
188,07/03/2024 08:59:57,,,,Logged,,
189,07/03/2024 09:00:00,27.15,3539.20,,,,
190,07/03/2024 09:00:02,,,Logged,Logged,,
191,07/03/2024 09:00:14,,,Logged,Logged,,
192,07/03/2024 09:17:42,,,Logged,Logged,,
193,07/03/2024 09:17:46,,,Logged,Logged,,
194,07/03/2024 09:17:47,,,,,Logged,
195,07/03/2024 09:30:00,27.50,7296.00,,,,
196,07/03/2024 10:00:00,27.20,3677.44,,,,
197,07/03/2024 10:30:00,27.24,4226.56,,,,
198,07/03/2024 11:00:00,27.58,5806.08,,,,
199,07/03/2024 11:30:00,27.67,2746.88,,,,
200,07/03/2024 12:00:00,27.97,4459.52,,,,
201,07/03/2024 12:30:00,28.14,4501.76,,,,
202,07/03/2024 13:00:00,27.63,1884.80,,,,
203,07/03/2024 13:30:00,27.41,4889.60,,,,
204,07/03/2024 14:00:00,27.45,11258.88,,,,
205,07/03/2024 14:30:00,27.58,20224.00,,,,
206,07/03/2024 15:00:00,27.11,1991.68,,,,
207,07/03/2024 15:30:00,26.98,4423.68,,,,
208,07/03/2024 15:30:28,,,Logged,Logged,,
209,07/03/2024 15:30:33,,,,,Logged,Logged
