#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 09:30:00,27.15,22773.76,,
2,07/10/2024 09:30:55,,,Logged,
3,07/10/2024 09:40:00,27.80,26224.64,,
4,07/10/2024 09:50:00,27.84,25026.56,,
5,07/10/2024 10:00:00,28.01,21678.08,,
6,07/10/2024 10:10:00,28.18,25241.60,,
7,07/10/2024 10:20:00,28.05,22056.96,,
8,07/10/2024 10:30:00,28.05,11607.04,,
9,07/10/2024 10:40:00,28.14,17428.48,,
10,07/10/2024 10:50:00,28.05,17054.72,,
11,07/10/2024 11:00:00,29.04,33085.44,,
12,07/10/2024 11:10:00,29.64,47902.72,,
13,07/10/2024 11:20:00,30.71,50298.88,,
14,07/10/2024 11:30:00,31.92,78458.88,,
15,07/10/2024 11:40:00,30.63,34488.32,,
16,07/10/2024 11:50:00,28.14,10741.76,,
17,07/10/2024 12:00:00,27.97,15068.16,,
18,07/10/2024 12:10:00,27.88,12835.84,,
19,07/10/2024 12:20:00,27.71,11750.40,,
20,07/10/2024 12:30:00,27.71,10163.20,,
21,07/10/2024 12:40:00,27.58,12400.64,,
22,07/10/2024 12:50:00,27.63,12887.04,,
23,07/10/2024 13:00:00,27.54,6090.24,,
24,07/10/2024 13:10:00,27.50,4931.84,,
25,07/10/2024 13:10:06,,,Logged,Logged
