#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 10:00:00,27.97,23285.76,,
2,07/10/2024 10:10:00,28.18,27269.12,,
3,07/10/2024 10:20:00,28.01,23459.84,,
4,07/10/2024 10:30:00,27.80,11248.64,,
5,07/10/2024 10:40:00,27.84,17116.16,,
6,07/10/2024 10:50:00,27.80,16936.96,,
7,07/10/2024 11:00:00,28.65,31713.28,,
8,07/10/2024 11:10:00,29.08,41236.48,,
9,07/10/2024 11:20:00,30.03,50257.92,,
10,07/10/2024 11:30:00,30.89,69775.36,,
11,07/10/2024 11:40:00,30.20,35911.68,,
12,07/10/2024 11:47:54,,,Logged,Logged
