#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 09:20:00,26.72,14817.28,,
2,07/10/2024 09:30:00,27.07,23306.24,,
3,07/10/2024 09:40:00,27.67,25241.60,,
4,07/10/2024 09:50:00,27.80,24176.64,,
5,07/10/2024 10:00:00,27.93,19952.64,,
6,07/10/2024 10:10:00,28.05,23808.00,,
7,07/10/2024 10:20:00,28.01,20838.40,,
8,07/10/2024 10:30:00,27.88,10334.72,,
9,07/10/2024 10:40:00,27.93,16389.12,,
10,07/10/2024 10:50:00,27.88,16501.76,,
11,07/10/2024 11:00:00,28.78,31631.36,,
12,07/10/2024 11:10:00,29.34,43438.08,,
13,07/10/2024 11:20:00,29.94,47759.36,,
14,07/10/2024 11:30:00,30.76,56197.12,,
15,07/10/2024 11:40:00,30.03,31385.60,,
16,07/10/2024 11:50:00,28.14,12026.88,,
17,07/10/2024 12:00:00,28.05,13813.76,,
18,07/10/2024 12:10:00,27.97,12093.44,,
19,07/10/2024 12:20:00,27.80,10900.48,,
20,07/10/2024 12:30:00,27.75,9740.80,,
21,07/10/2024 12:40:00,27.67,11479.04,,
22,07/10/2024 12:50:00,27.67,12631.04,,
23,07/10/2024 13:00:00,27.63,5862.40,,
24,07/10/2024 13:09:07,,,Logged,Logged
