#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 09:40:00,27.80,24432.64,,
2,07/10/2024 09:50:00,27.75,23121.92,,
3,07/10/2024 10:00:00,27.93,20254.72,,
4,07/10/2024 10:10:00,28.14,24473.60,,
5,07/10/2024 10:11:20,,,Logged,
6,07/10/2024 10:14:51,,,Logged,
7,07/10/2024 10:20:00,27.93,20249.60,,
8,07/10/2024 10:30:00,27.80,10081.28,,
9,07/10/2024 10:40:00,27.84,16220.16,,
10,07/10/2024 10:50:00,27.75,15452.16,,
11,07/10/2024 11:00:00,28.57,29040.64,,
12,07/10/2024 11:10:00,29.08,39137.28,,
13,07/10/2024 11:20:00,29.77,40704.00,,
14,07/10/2024 11:30:00,30.63,59351.04,,
15,07/10/2024 11:40:00,29.90,29460.48,,
16,07/10/2024 11:50:00,28.01,9359.36,,
17,07/10/2024 12:00:00,27.97,13143.04,,
18,07/10/2024 12:10:00,27.88,11397.12,,
19,07/10/2024 12:20:00,27.75,10516.48,,
20,07/10/2024 12:30:00,27.67,8844.80,,
21,07/10/2024 12:40:00,27.58,10716.16,,
22,07/10/2024 12:50:00,27.63,11008.00,,
23,07/10/2024 13:00:00,27.54,4881.92,,
24,07/10/2024 13:08:16,,,Logged,Logged
