#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 09:17:05,,,Logged,
2,07/10/2024 09:20:00,26.85,16168.96,,
3,07/10/2024 09:30:00,27.07,23900.16,,
4,07/10/2024 09:40:00,27.71,26480.64,,
5,07/10/2024 09:50:00,27.84,25364.48,,
6,07/10/2024 10:00:00,28.01,21544.96,,
7,07/10/2024 10:10:00,28.18,25190.40,,
8,07/10/2024 10:20:00,28.05,21882.88,,
9,07/10/2024 10:30:00,27.97,10721.28,,
10,07/10/2024 10:40:00,28.01,17367.04,,
11,07/10/2024 10:50:00,27.93,16619.52,,
12,07/10/2024 11:00:00,28.87,32532.48,,
13,07/10/2024 11:10:00,29.26,44318.72,,
14,07/10/2024 11:20:00,30.07,46428.16,,
15,07/10/2024 11:30:00,31.01,61870.08,,
16,07/10/2024 11:40:00,30.20,33884.16,,
17,07/10/2024 11:44:09,,,Logged,Logged
