#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 10:00:00,27.97,23285.76,,
2,07/10/2024 10:10:00,28.18,27269.12,,
3,07/10/2024 10:20:00,28.01,23459.84,,
4,07/10/2024 10:30:00,27.80,11248.64,,
5,07/10/2024 10:40:00,27.84,17116.16,,
6,07/10/2024 10:50:00,27.80,16936.96,,
7,07/10/2024 11:00:00,28.65,31713.28,,
8,07/10/2024 11:10:00,29.08,41236.48,,
9,07/10/2024 11:20:00,30.03,50257.92,,
10,07/10/2024 11:30:00,30.89,69775.36,,
11,07/10/2024 11:40:00,30.20,35911.68,,
12,07/10/2024 11:47:54,,,Logged,
13,07/10/2024 11:50:00,28.35,11898.88,,
14,07/10/2024 12:00:00,28.18,14709.76,,
15,07/10/2024 12:10:00,28.14,13173.76,,
16,07/10/2024 12:20:00,28.01,11781.12,,
17,07/10/2024 12:30:00,27.97,10598.40,,
18,07/10/2024 12:40:00,27.88,12134.40,,
19,07/10/2024 12:50:00,27.97,13224.96,,
20,07/10/2024 13:00:00,27.84,5665.28,,
21,07/10/2024 13:10:00,27.67,6645.76,,
22,07/10/2024 13:20:00,27.75,7129.60,,
23,07/10/2024 13:30:00,27.84,5662.72,,
24,07/10/2024 13:40:00,27.75,2562.56,,
25,07/10/2024 13:50:00,27.84,7580.16,,
26,07/10/2024 14:00:00,28.01,6218.24,,
27,07/10/2024 14:10:00,28.05,6773.76,,
28,07/10/2024 14:20:00,28.23,33525.76,,
29,07/10/2024 14:30:00,28.57,13864.96,,
30,07/10/2024 14:40:00,28.35,8819.20,,
31,07/10/2024 14:50:00,28.48,27197.44,,
32,07/10/2024 15:00:00,28.31,2121.60,,
33,07/10/2024 15:10:00,28.23,2116.48,,
34,07/10/2024 15:20:00,28.10,1617.92,,
35,07/10/2024 15:30:00,28.01,2984.96,,
36,07/10/2024 15:40:00,28.01,2827.52,,
37,07/10/2024 15:50:00,27.88,3205.12,,
38,07/10/2024 16:00:00,27.88,3806.72,,
39,07/10/2024 16:10:00,27.93,3841.28,,
40,07/10/2024 16:20:00,27.93,4755.20,,
41,07/10/2024 16:30:00,28.01,5195.52,,
42,07/10/2024 16:40:00,28.01,3928.32,,
43,07/10/2024 16:50:00,28.05,4492.80,,
44,07/10/2024 17:00:00,27.97,1797.76,,
45,07/10/2024 17:10:00,27.88,2161.28,,
46,07/10/2024 17:20:00,27.80,1499.52,,
47,07/10/2024 17:30:00,27.67,422.72,,
48,07/10/2024 17:40:00,27.63,962.88,,
49,07/10/2024 17:50:00,27.58,1433.60,,
50,07/10/2024 18:00:00,27.45,1460.48,,
51,07/10/2024 18:10:00,27.37,1166.40,,
52,07/10/2024 18:20:00,27.28,808.64,,
53,07/10/2024 18:30:00,27.15,308.88,,
54,07/10/2024 18:40:00,27.15,500.16,,
55,07/10/2024 18:50:00,27.02,306.32,,
56,07/10/2024 19:00:00,26.94,206.16,,
57,07/10/2024 19:10:00,26.85,107.84,,
58,07/10/2024 19:20:00,26.85,38.94,,
59,07/10/2024 19:30:00,26.77,6.49,,
60,07/10/2024 19:40:00,26.68,0.00,,
61,07/10/2024 19:50:00,26.68,0.00,,
62,07/10/2024 20:00:00,26.60,0.00,,
63,07/10/2024 20:10:00,26.51,0.00,,
64,07/10/2024 20:20:00,26.47,0.00,,
65,07/10/2024 20:30:00,26.47,0.00,,
66,07/10/2024 20:40:00,26.38,0.00,,
67,07/10/2024 20:50:00,26.34,0.00,,
68,07/10/2024 21:00:00,26.38,0.00,,
69,07/10/2024 21:10:00,26.25,0.00,,
70,07/10/2024 21:20:00,26.21,0.00,,
71,07/10/2024 21:30:00,26.21,0.00,,
72,07/10/2024 21:40:00,26.21,0.00,,
73,07/10/2024 21:50:00,26.12,0.00,,
74,07/10/2024 22:00:00,26.12,0.00,,
75,07/10/2024 22:10:00,26.12,0.00,,
76,07/10/2024 22:20:00,26.08,0.00,,
77,07/10/2024 22:30:00,26.04,0.00,,
78,07/10/2024 22:40:00,26.04,0.00,,
79,07/10/2024 22:50:00,26.12,0.00,,
80,07/10/2024 23:00:00,26.60,0.00,,
81,07/10/2024 23:10:00,26.55,0.00,,
82,07/10/2024 23:20:00,26.47,0.00,,
83,07/10/2024 23:30:00,26.42,0.00,,
84,07/10/2024 23:40:00,26.42,0.00,,
85,07/10/2024 23:50:00,26.34,0.00,,
86,07/11/2024 00:00:00,26.30,0.00,,
87,07/11/2024 00:10:00,26.25,0.00,,
88,07/11/2024 00:20:00,26.25,0.00,,
89,07/11/2024 00:30:00,26.17,0.00,,
90,07/11/2024 00:40:00,26.12,0.00,,
91,07/11/2024 00:50:00,26.04,0.00,,
92,07/11/2024 01:00:00,26.04,0.00,,
93,07/11/2024 01:10:00,26.04,0.00,,
94,07/11/2024 01:20:00,26.64,0.00,,
95,07/11/2024 01:30:00,26.60,0.00,,
96,07/11/2024 01:40:00,26.51,0.00,,
97,07/11/2024 01:50:00,26.47,0.00,,
98,07/11/2024 02:00:00,26.42,0.00,,
99,07/11/2024 02:10:00,26.38,0.00,,
100,07/11/2024 02:20:00,26.30,0.00,,
101,07/11/2024 02:30:00,26.25,0.00,,
102,07/11/2024 02:40:00,26.21,0.00,,
103,07/11/2024 02:50:00,26.17,0.00,,
104,07/11/2024 03:00:00,26.04,0.00,,
105,07/11/2024 03:10:00,26.04,0.00,,
106,07/11/2024 03:20:00,26.51,0.00,,
107,07/11/2024 03:30:00,26.60,0.00,,
108,07/11/2024 03:40:00,26.51,0.00,,
109,07/11/2024 03:50:00,26.47,0.00,,
110,07/11/2024 04:00:00,26.42,0.00,,
111,07/11/2024 04:10:00,26.34,0.00,,
112,07/11/2024 04:20:00,26.30,0.00,,
113,07/11/2024 04:30:00,26.25,0.00,,
114,07/11/2024 04:40:00,26.17,0.00,,
115,07/11/2024 04:50:00,26.17,0.00,,
116,07/11/2024 05:00:00,26.08,0.00,,
117,07/11/2024 05:10:00,26.17,0.00,,
118,07/11/2024 05:20:00,26.60,0.00,,
119,07/11/2024 05:30:00,26.55,0.00,,
120,07/11/2024 05:40:00,26.51,3.02,,
121,07/11/2024 05:50:00,26.42,21.30,,
122,07/11/2024 06:00:00,26.38,71.32,,
123,07/11/2024 06:10:00,26.34,162.68,,
124,07/11/2024 06:20:00,26.25,282.08,,
125,07/11/2024 06:30:00,26.21,516.16,,
126,07/11/2024 06:40:00,26.21,752.64,,
127,07/11/2024 06:50:00,26.21,1141.12,,
128,07/11/2024 07:00:00,26.21,1670.40,,
129,07/11/2024 07:10:00,26.25,1222.72,,
130,07/11/2024 07:20:00,26.21,1974.40,,
131,07/11/2024 07:30:00,26.21,1382.40,,
132,07/11/2024 07:40:00,26.21,1557.12,,
133,07/11/2024 07:50:00,26.17,1395.20,,
134,07/11/2024 08:00:00,26.21,1944.96,,
135,07/11/2024 08:10:00,26.17,2416.00,,
136,07/11/2024 08:20:00,26.25,3001.60,,
137,07/11/2024 08:30:00,26.21,2895.36,,
138,07/11/2024 08:40:00,26.30,3924.48,,
139,07/11/2024 08:50:00,26.34,3650.56,,
140,07/11/2024 09:00:00,26.38,3942.40,,
141,07/11/2024 09:10:00,26.51,5736.96,,
142,07/11/2024 09:20:00,26.60,5693.44,,
143,07/11/2024 09:30:00,26.68,5987.84,,
144,07/11/2024 09:40:00,26.72,4869.12,,
145,07/11/2024 09:50:00,26.81,7093.76,,
146,07/11/2024 10:00:00,26.85,4291.84,,
147,07/11/2024 10:10:00,26.94,6548.48,,
148,07/11/2024 10:20:00,26.98,9510.40,,
149,07/11/2024 10:30:00,27.07,7267.84,,
150,07/11/2024 10:40:00,27.07,6894.08,,
151,07/11/2024 10:50:00,27.15,6799.36,,
152,07/11/2024 11:00:00,27.15,5775.36,,
153,07/11/2024 11:10:00,27.32,12083.20,,
154,07/11/2024 11:20:00,27.41,7946.24,,
155,07/11/2024 11:30:00,27.41,6394.88,,
156,07/11/2024 11:40:00,27.41,7191.04,,
157,07/11/2024 11:50:00,27.45,7109.12,,
158,07/11/2024 12:00:00,27.32,5391.36,,
159,07/11/2024 12:10:00,27.28,3354.88,,
160,07/11/2024 12:20:00,27.11,2618.24,,
161,07/11/2024 12:30:00,27.11,4377.60,,
162,07/11/2024 12:40:00,27.07,6080.00,,
163,07/11/2024 12:50:00,27.45,14576.64,,
164,07/11/2024 13:00:00,27.45,9152.00,,
165,07/11/2024 13:10:00,27.50,8701.44,,
166,07/11/2024 13:20:00,27.75,11816.96,,
167,07/11/2024 13:30:00,27.84,9157.12,,
168,07/11/2024 13:40:00,28.10,9953.28,,
169,07/11/2024 13:50:00,28.31,9628.16,,
170,07/11/2024 14:00:00,28.40,22814.72,,
171,07/11/2024 14:10:00,28.70,20331.52,,
172,07/11/2024 14:20:00,28.83,6627.84,,
173,07/11/2024 14:30:00,28.65,7808.00,,
174,07/11/2024 14:40:00,28.83,7073.28,,
175,07/11/2024 14:50:00,28.74,8486.40,,
176,07/11/2024 15:00:00,28.70,6796.80,,
177,07/11/2024 15:10:00,28.57,5795.84,,
178,07/11/2024 15:20:00,28.48,2109.44,,
179,07/11/2024 15:30:00,28.40,4564.48,,
180,07/11/2024 15:40:00,28.31,3477.76,,
181,07/11/2024 15:50:00,28.44,5031.68,,
182,07/11/2024 16:00:00,28.23,2794.24,,
183,07/11/2024 16:10:00,28.27,5480.96,,
184,07/11/2024 16:20:00,28.14,3720.96,,
185,07/11/2024 16:30:00,28.05,2305.28,,
186,07/11/2024 16:40:00,28.01,2552.32,,
187,07/11/2024 16:50:00,27.88,1866.88,,
188,07/11/2024 17:00:00,27.71,1896.32,,
189,07/11/2024 17:10:00,27.58,2057.60,,
190,07/11/2024 17:20:00,27.45,2308.48,,
191,07/11/2024 17:30:00,27.41,1448.96,,
192,07/11/2024 17:40:00,27.32,1435.52,,
193,07/11/2024 17:50:00,27.28,730.56,,
194,07/11/2024 18:00:00,27.20,1200.96,,
195,07/11/2024 18:10:00,27.11,964.80,,
196,07/11/2024 18:20:00,27.07,751.04,,
197,07/11/2024 18:30:00,26.98,507.84,,
198,07/11/2024 18:40:00,26.94,489.76,,
199,07/11/2024 18:50:00,26.81,336.80,,
200,07/11/2024 19:00:00,26.81,192.32,,
201,07/11/2024 19:10:00,26.72,80.90,,
202,07/11/2024 19:20:00,26.64,11.70,,
203,07/11/2024 19:30:00,26.55,1.73,,
204,07/11/2024 19:40:00,26.51,0.00,,
205,07/11/2024 19:50:00,26.47,0.00,,
206,07/11/2024 20:00:00,26.47,0.00,,
207,07/11/2024 20:10:00,26.34,0.00,,
