#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 09:17:05,,,Logged,
2,07/10/2024 09:20:00,26.85,16168.96,,
3,07/10/2024 09:30:00,27.07,23900.16,,
4,07/10/2024 09:40:00,27.71,26480.64,,
5,07/10/2024 09:50:00,27.84,25364.48,,
6,07/10/2024 10:00:00,28.01,21544.96,,
7,07/10/2024 10:10:00,28.18,25190.40,,
8,07/10/2024 10:20:00,28.05,21882.88,,
9,07/10/2024 10:30:00,27.97,10721.28,,
10,07/10/2024 10:40:00,28.01,17367.04,,
11,07/10/2024 10:50:00,27.93,16619.52,,
12,07/10/2024 11:00:00,28.87,32532.48,,
13,07/10/2024 11:10:00,29.26,44318.72,,
14,07/10/2024 11:20:00,30.07,46428.16,,
15,07/10/2024 11:30:00,31.01,61870.08,,
16,07/10/2024 11:40:00,30.20,33884.16,,
17,07/10/2024 11:44:09,,,Logged,
18,07/10/2024 11:50:00,28.35,10905.60,,
19,07/10/2024 12:00:00,28.18,12979.20,,
20,07/10/2024 12:10:00,28.10,12303.36,,
21,07/10/2024 12:20:00,27.97,9994.24,,
22,07/10/2024 12:30:00,27.93,10124.80,,
23,07/10/2024 12:40:00,27.84,9290.24,,
24,07/10/2024 12:50:00,27.88,12856.32,,
25,07/10/2024 13:00:00,27.80,5388.80,,
26,07/10/2024 13:10:00,27.63,5445.12,,
27,07/10/2024 13:20:00,27.67,6650.88,,
28,07/10/2024 13:30:00,27.67,5265.92,,
29,07/10/2024 13:40:00,27.63,2459.52,,
30,07/10/2024 13:50:00,27.67,6763.52,,
31,07/10/2024 14:00:00,27.88,5409.28,,
32,07/10/2024 14:10:00,27.84,6003.20,,
33,07/10/2024 14:20:00,27.97,26040.32,,
34,07/10/2024 14:30:00,28.35,15293.44,,
35,07/10/2024 14:40:00,28.10,8133.12,,
36,07/10/2024 14:50:00,28.10,28938.24,,
37,07/10/2024 15:00:00,27.97,1916.16,,
38,07/10/2024 15:10:00,27.84,1916.16,,
39,07/10/2024 15:20:00,27.75,1484.16,,
40,07/10/2024 15:30:00,27.58,2791.68,,
41,07/10/2024 15:40:00,27.58,2527.36,,
42,07/10/2024 15:50:00,27.50,3005.44,,
43,07/10/2024 16:00:00,27.50,3537.92,,
44,07/10/2024 16:10:00,27.50,3526.40,,
45,07/10/2024 16:20:00,27.45,4285.44,,
46,07/10/2024 16:30:00,27.80,21667.84,,
47,07/10/2024 16:40:00,27.58,3472.64,,
48,07/10/2024 16:50:00,27.63,3911.68,,
49,07/10/2024 17:00:00,27.50,1525.12,,
50,07/10/2024 17:10:00,27.45,2038.40,,
51,07/10/2024 17:20:00,27.41,1319.04,,
52,07/10/2024 17:30:00,27.28,395.04,,
53,07/10/2024 17:40:00,27.24,913.92,,
54,07/10/2024 17:50:00,27.15,1367.68,,
55,07/10/2024 18:00:00,27.11,1285.44,,
56,07/10/2024 18:10:00,27.07,1138.88,,
57,07/10/2024 18:20:00,26.98,746.56,,
58,07/10/2024 18:30:00,26.94,292.80,,
59,07/10/2024 18:40:00,26.85,467.20,,
60,07/10/2024 18:50:00,26.85,302.72,,
61,07/10/2024 19:00:00,26.81,198.88,,
62,07/10/2024 19:10:00,26.77,102.00,,
63,07/10/2024 19:20:00,26.72,37.41,,
64,07/10/2024 19:30:00,26.68,6.29,,
65,07/10/2024 19:40:00,27.15,0.22,,
66,07/10/2024 19:50:00,27.24,0.00,,
67,07/10/2024 20:00:00,27.07,0.00,,
68,07/10/2024 20:10:00,27.02,0.00,,
69,07/10/2024 20:20:00,26.98,0.00,,
70,07/10/2024 20:30:00,26.94,0.00,,
71,07/10/2024 20:40:00,26.81,0.00,,
72,07/10/2024 20:50:00,26.77,0.00,,
73,07/10/2024 21:00:00,26.72,0.00,,
74,07/10/2024 21:10:00,26.68,0.00,,
75,07/10/2024 21:20:00,27.15,0.00,,
76,07/10/2024 21:30:00,27.20,0.00,,
77,07/10/2024 21:40:00,27.15,0.00,,
78,07/10/2024 21:50:00,26.98,0.00,,
79,07/10/2024 22:00:00,26.94,0.00,,
80,07/10/2024 22:10:00,26.81,0.00,,
81,07/10/2024 22:20:00,26.77,0.00,,
82,07/10/2024 22:30:00,26.72,0.00,,
83,07/10/2024 22:40:00,26.72,0.00,,
84,07/10/2024 22:50:00,26.72,0.00,,
85,07/10/2024 23:00:00,27.24,0.00,,
86,07/10/2024 23:10:00,27.11,0.00,,
87,07/10/2024 23:20:00,26.98,0.00,,
88,07/10/2024 23:30:00,26.94,0.00,,
89,07/10/2024 23:40:00,26.85,0.00,,
90,07/10/2024 23:50:00,26.77,0.00,,
91,07/11/2024 00:00:00,26.72,0.00,,
92,07/11/2024 00:10:00,26.64,0.00,,
93,07/11/2024 00:20:00,27.02,0.00,,
94,07/11/2024 00:30:00,27.20,0.00,,
95,07/11/2024 00:40:00,27.07,0.00,,
96,07/11/2024 00:50:00,27.02,0.00,,
97,07/11/2024 01:00:00,26.94,0.00,,
98,07/11/2024 01:10:00,26.85,0.00,,
99,07/11/2024 01:20:00,26.77,0.00,,
100,07/11/2024 01:30:00,26.68,0.00,,
101,07/11/2024 01:40:00,26.94,0.00,,
102,07/11/2024 01:50:00,27.20,0.00,,
103,07/11/2024 02:00:00,27.11,0.00,,
104,07/11/2024 02:10:00,26.98,0.00,,
105,07/11/2024 02:20:00,26.90,0.00,,
106,07/11/2024 02:30:00,26.81,0.00,,
107,07/11/2024 02:40:00,26.77,0.00,,
108,07/11/2024 02:50:00,26.68,0.00,,
109,07/11/2024 03:00:00,27.15,0.00,,
110,07/11/2024 03:10:00,27.07,0.00,,
111,07/11/2024 03:20:00,26.98,0.00,,
112,07/11/2024 03:30:00,26.85,0.00,,
113,07/11/2024 03:40:00,26.81,0.00,,
114,07/11/2024 03:50:00,26.72,0.00,,
115,07/11/2024 04:00:00,26.64,0.00,,
116,07/11/2024 04:10:00,27.20,0.00,,
117,07/11/2024 04:20:00,27.15,0.00,,
118,07/11/2024 04:30:00,27.02,0.00,,
119,07/11/2024 04:40:00,26.90,0.00,,
120,07/11/2024 04:50:00,26.85,0.00,,
121,07/11/2024 05:00:00,26.68,0.00,,
122,07/11/2024 05:10:00,26.90,0.00,,
123,07/11/2024 05:20:00,27.20,0.00,,
124,07/11/2024 05:30:00,27.07,0.00,,
125,07/11/2024 05:40:00,26.98,3.37,,
126,07/11/2024 05:50:00,26.85,21.18,,
127,07/11/2024 06:00:00,26.81,68.14,,
128,07/11/2024 06:10:00,26.72,154.48,,
129,07/11/2024 06:20:00,27.15,262.00,,
130,07/11/2024 06:30:00,27.15,481.76,,
131,07/11/2024 06:40:00,27.07,695.04,,
132,07/11/2024 06:50:00,26.98,1091.20,,
133,07/11/2024 07:00:00,26.98,1569.92,,
134,07/11/2024 07:10:00,26.85,1162.24,,
135,07/11/2024 07:20:00,26.85,1937.92,,
136,07/11/2024 07:30:00,26.81,1367.04,,
137,07/11/2024 07:40:00,26.81,1404.80,,
138,07/11/2024 07:50:00,26.72,1279.04,,
139,07/11/2024 08:00:00,26.68,1795.84,,
140,07/11/2024 08:10:00,26.68,2247.04,,
141,07/11/2024 08:20:00,27.32,2862.08,,
142,07/11/2024 08:30:00,27.28,2689.28,,
143,07/11/2024 08:40:00,27.28,3764.48,,
144,07/11/2024 08:50:00,27.20,3379.20,,
145,07/11/2024 09:00:00,27.20,3724.80,,
146,07/11/2024 09:10:00,27.24,5478.40,,
147,07/11/2024 09:20:00,27.28,5314.56,,
148,07/11/2024 09:30:00,27.32,5596.16,,
149,07/11/2024 09:40:00,27.28,4601.60,,
150,07/11/2024 09:50:00,27.37,6737.92,,
151,07/11/2024 10:00:00,27.32,4259.84,,
152,07/11/2024 10:10:00,27.37,5964.80,,
153,07/11/2024 10:20:00,27.45,8599.04,,
154,07/11/2024 10:30:00,27.41,6860.80,,
155,07/11/2024 10:40:00,27.50,6430.72,,
156,07/11/2024 10:50:00,27.50,6594.56,,
157,07/11/2024 11:00:00,27.45,5468.16,,
158,07/11/2024 11:10:00,27.63,11340.80,,
159,07/11/2024 11:20:00,27.67,7493.12,,
160,07/11/2024 11:30:00,27.67,6010.88,,
161,07/11/2024 11:40:00,27.67,6722.56,,
162,07/11/2024 11:50:00,27.63,6428.16,,
163,07/11/2024 12:00:00,27.54,4750.08,,
164,07/11/2024 12:10:00,27.41,3106.56,,
165,07/11/2024 12:20:00,27.28,2495.36,,
166,07/11/2024 12:30:00,27.24,4124.16,,
167,07/11/2024 12:40:00,27.15,5690.88,,
168,07/11/2024 12:50:00,27.58,11991.04,,
169,07/11/2024 13:00:00,27.54,8320.00,,
170,07/11/2024 13:10:00,27.71,8327.68,,
171,07/11/2024 13:20:00,28.70,11084.80,,
172,07/11/2024 13:30:00,28.61,8852.48,,
173,07/11/2024 13:40:00,28.74,9246.72,,
174,07/11/2024 13:50:00,28.83,9003.52,,
175,07/11/2024 14:00:00,28.87,18053.12,,
176,07/11/2024 14:10:00,29.08,17761.28,,
177,07/11/2024 14:20:00,29.00,18401.28,,
178,07/11/2024 14:30:00,28.87,7815.68,,
179,07/11/2024 14:40:00,28.91,7229.44,,
180,07/11/2024 14:50:00,28.78,8599.04,,
181,07/11/2024 15:00:00,28.61,6822.40,,
182,07/11/2024 15:10:00,28.53,5918.72,,
183,07/11/2024 15:20:00,28.35,2135.68,,
184,07/11/2024 15:30:00,28.27,4627.20,,
185,07/11/2024 15:40:00,28.10,3484.16,,
186,07/11/2024 15:50:00,28.18,5163.52,,
187,07/11/2024 16:00:00,28.01,2798.08,,
188,07/11/2024 16:10:00,28.01,5575.68,,
189,07/11/2024 16:20:00,27.88,3770.88,,
190,07/11/2024 16:30:00,27.80,2389.12,,
191,07/11/2024 16:40:00,28.35,2648.32,,
192,07/11/2024 16:50:00,28.14,1884.16,,
193,07/11/2024 17:00:00,27.97,1893.12,,
194,07/11/2024 17:10:00,27.84,2081.92,,
195,07/11/2024 17:20:00,28.27,2322.56,,
196,07/11/2024 17:30:00,28.18,1471.36,,
197,07/11/2024 17:40:00,28.05,1500.16,,
198,07/11/2024 17:50:00,27.88,736.64,,
199,07/11/2024 18:00:00,27.71,1213.44,,
200,07/11/2024 18:10:00,28.27,1007.68,,
201,07/11/2024 18:20:00,28.10,803.20,,
202,07/11/2024 18:30:00,27.93,538.40,,
203,07/11/2024 18:40:00,27.71,519.52,,
204,07/11/2024 18:50:00,28.23,364.16,,
205,07/11/2024 19:00:00,28.10,202.48,,
206,07/11/2024 19:10:00,27.93,84.80,,
207,07/11/2024 19:20:00,27.71,12.81,,
