#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 10:20:00,29.13,14295.04,,
2,07/10/2024 10:30:00,27.88,9699.84,,
3,07/10/2024 10:40:00,27.93,17259.52,,
4,07/10/2024 10:50:00,27.75,15759.36,,
5,07/10/2024 11:00:00,28.61,28928.00,,
6,07/10/2024 11:10:00,29.08,37591.04,,
7,07/10/2024 11:20:00,29.64,40273.92,,
8,07/10/2024 11:30:00,30.33,54394.88,,
9,07/10/2024 11:40:00,29.81,28815.36,,
10,07/10/2024 11:45:49,,,Logged,
11,07/10/2024 11:50:00,28.31,10654.72,,
12,07/10/2024 12:00:00,28.31,15457.28,,
13,07/10/2024 12:10:00,28.18,13829.12,,
14,07/10/2024 12:20:00,28.01,10311.68,,
15,07/10/2024 12:30:00,27.93,11151.36,,
16,07/10/2024 12:40:00,27.84,10467.84,,
17,07/10/2024 12:50:00,27.88,13373.44,,
18,07/10/2024 13:00:00,27.84,6228.48,,
19,07/10/2024 13:10:00,27.67,6246.40,,
20,07/10/2024 13:20:00,27.67,8017.92,,
21,07/10/2024 13:30:00,27.67,6464.00,,
22,07/10/2024 13:40:00,27.58,3518.72,,
23,07/10/2024 13:50:00,27.67,8542.72,,
24,07/10/2024 14:00:00,27.88,6909.44,,
25,07/10/2024 14:10:00,27.84,7943.68,,
26,07/10/2024 14:20:00,27.93,16701.44,,
27,07/10/2024 14:30:00,28.27,15452.16,,
28,07/10/2024 14:40:00,28.10,10531.84,,
29,07/10/2024 14:50:00,28.14,29265.92,,
30,07/10/2024 15:00:00,27.93,2389.76,,
31,07/10/2024 15:10:00,27.84,2362.88,,
32,07/10/2024 15:20:00,27.67,1762.56,,
33,07/10/2024 15:30:00,27.58,3235.84,,
34,07/10/2024 15:40:00,27.54,3374.08,,
35,07/10/2024 15:50:00,27.45,3558.40,,
36,07/10/2024 16:00:00,27.45,3925.76,,
37,07/10/2024 16:10:00,27.50,4215.04,,
38,07/10/2024 16:20:00,27.54,5662.72,,
39,07/10/2024 16:30:00,27.93,17530.88,,
40,07/10/2024 16:40:00,27.80,11729.92,,
41,07/10/2024 16:50:00,27.67,12001.28,,
42,07/10/2024 17:00:00,27.45,1982.72,,
43,07/10/2024 17:10:00,27.45,2300.80,,
44,07/10/2024 17:20:00,27.37,1727.36,,
45,07/10/2024 17:30:00,27.20,494.88,,
46,07/10/2024 17:40:00,27.15,1046.08,,
47,07/10/2024 17:50:00,27.11,1621.76,,
48,07/10/2024 18:00:00,27.07,1694.08,,
49,07/10/2024 18:10:00,27.02,1235.20,,
50,07/10/2024 18:20:00,26.98,908.16,,
51,07/10/2024 18:30:00,26.90,317.04,,
52,07/10/2024 18:40:00,26.85,567.20,,
53,07/10/2024 18:50:00,26.77,311.12,,
54,07/10/2024 19:00:00,26.72,222.40,,
55,07/10/2024 19:10:00,26.68,130.12,,
56,07/10/2024 19:20:00,26.68,48.14,,
57,07/10/2024 19:30:00,26.60,9.46,,
58,07/10/2024 19:40:00,26.98,0.42,,
59,07/10/2024 19:50:00,27.15,0.00,,
60,07/10/2024 20:00:00,27.07,0.00,,
61,07/10/2024 20:10:00,26.98,0.00,,
62,07/10/2024 20:20:00,26.90,0.00,,
63,07/10/2024 20:30:00,26.81,0.00,,
64,07/10/2024 20:40:00,26.77,0.00,,
65,07/10/2024 20:50:00,26.68,0.00,,
66,07/10/2024 21:00:00,26.64,0.00,,
67,07/10/2024 21:10:00,26.64,0.00,,
68,07/10/2024 21:20:00,27.11,0.00,,
69,07/10/2024 21:30:00,27.15,0.00,,
70,07/10/2024 21:40:00,27.07,0.00,,
71,07/10/2024 21:50:00,26.98,0.00,,
72,07/10/2024 22:00:00,26.90,0.00,,
73,07/10/2024 22:10:00,26.81,0.00,,
74,07/10/2024 22:20:00,26.72,0.00,,
75,07/10/2024 22:30:00,26.72,0.00,,
76,07/10/2024 22:40:00,26.64,0.00,,
77,07/10/2024 22:50:00,26.68,0.00,,
78,07/10/2024 23:00:00,27.15,0.00,,
79,07/10/2024 23:10:00,27.07,0.00,,
80,07/10/2024 23:20:00,26.90,0.00,,
81,07/10/2024 23:30:00,26.85,0.00,,
82,07/10/2024 23:40:00,26.81,0.00,,
83,07/10/2024 23:50:00,26.72,0.00,,
84,07/11/2024 00:00:00,26.60,0.00,,
85,07/11/2024 00:10:00,26.64,0.00,,
86,07/11/2024 00:20:00,26.85,0.00,,
87,07/11/2024 00:30:00,27.11,0.00,,
88,07/11/2024 00:40:00,27.02,0.00,,
89,07/11/2024 00:50:00,26.94,0.00,,
90,07/11/2024 01:00:00,26.85,0.00,,
91,07/11/2024 01:10:00,26.77,0.00,,
92,07/11/2024 01:20:00,26.72,0.00,,
93,07/11/2024 01:30:00,26.64,0.00,,
94,07/11/2024 01:40:00,26.77,0.00,,
95,07/11/2024 01:50:00,27.15,0.00,,
96,07/11/2024 02:00:00,27.07,0.00,,
97,07/11/2024 02:10:00,26.98,0.00,,
98,07/11/2024 02:20:00,26.85,0.00,,
99,07/11/2024 02:30:00,26.77,0.00,,
100,07/11/2024 02:40:00,26.68,0.00,,
101,07/11/2024 02:50:00,26.60,0.00,,
102,07/11/2024 03:00:00,27.11,0.00,,
103,07/11/2024 03:10:00,27.07,0.00,,
104,07/11/2024 03:20:00,26.94,0.00,,
105,07/11/2024 03:30:00,26.85,0.00,,
106,07/11/2024 03:40:00,26.77,0.00,,
107,07/11/2024 03:50:00,26.64,0.00,,
108,07/11/2024 04:00:00,26.60,0.00,,
109,07/11/2024 04:10:00,27.11,0.00,,
110,07/11/2024 04:20:00,27.07,0.00,,
111,07/11/2024 04:30:00,26.94,0.00,,
112,07/11/2024 04:40:00,26.81,0.00,,
113,07/11/2024 04:50:00,26.72,0.00,,
114,07/11/2024 05:00:00,26.68,0.00,,
115,07/11/2024 05:10:00,26.85,0.00,,
116,07/11/2024 05:20:00,27.11,0.00,,
117,07/11/2024 05:30:00,26.98,0.21,,
118,07/11/2024 05:40:00,26.90,3.78,,
119,07/11/2024 05:50:00,26.81,26.54,,
120,07/11/2024 06:00:00,26.68,83.68,,
121,07/11/2024 06:10:00,26.64,193.60,,
122,07/11/2024 06:20:00,26.98,305.28,,
123,07/11/2024 06:30:00,27.15,575.20,,
124,07/11/2024 06:40:00,27.07,832.32,,
125,07/11/2024 06:50:00,26.98,1249.60,,
126,07/11/2024 07:00:00,26.94,1872.00,,
127,07/11/2024 07:10:00,26.85,1481.60,,
128,07/11/2024 07:20:00,26.85,1985.92,,
129,07/11/2024 07:30:00,26.77,1720.32,,
130,07/11/2024 07:40:00,26.72,1895.04,,
131,07/11/2024 07:50:00,26.68,1545.60,,
