#,Sample ID,User name,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,260/230,Sample Type,Factor
1,3HA2a,medusaFTIR,8/31/2023 1:46:40 PM,454.2,ng/µl,9.084,4.905,1.85,2.08,DNA,50
2,,medusaFTIR,8/31/2023 1:07:32 PM,-0.2,ng/µl,-0.004,-0.008,0.56,0.28,DNA,50
3,4LA2a,medusaFTIR,8/31/2023 1:42:30 PM,467.8,ng/µl,9.356,5.051,1.85,2.23,DNA,50
4,3MA2a,medusaFTIR,8/31/2023 1:44:46 PM,268,ng/µl,5.361,2.891,1.85,2.16,DNA,50
5,blank,medusaFTIR,8/31/2023 1:50:03 PM,11.4,ng/µl,0.229,0.149,1.54,0.87,DNA,50
6,mock,medusaFTIR,8/31/2023 1:48:14 PM,7,ng/µl,0.14,0.117,1.2,0.42,DNA,50
7,1HA2a,medusaFTIR,8/31/2023 1:51:45 PM,332.7,ng/µl,6.653,3.579,1.86,2.26,DNA,50
8,4MA2a,medusaFTIR,8/31/2023 1:58:22 PM,126.7,ng/µl,2.534,1.397,1.81,1.92,DNA,50
9,2HH2a,medusaFTIR,8/31/2023 1:59:59 PM,9.9,ng/µl,0.198,0.151,1.32,0.71,DNA,50
10,2HH2a,medusaFTIR,8/31/2023 2:01:15 PM,10.4,ng/µl,0.208,0.152,1.36,0.7,DNA,50
11,1HH2a,medusaFTIR,8/31/2023 2:02:35 PM,224.5,ng/µl,4.49,2.443,1.84,1.95,DNA,50
12,3HH2a,medusaFTIR,8/31/2023 2:05:22 PM,213,ng/µl,4.261,2.325,1.83,2.02,DNA,50
13,4MA2a,medusaFTIR,8/31/2023 2:16:38 PM,14.7,ng/µl,0.368,0.209,1.76,2.46,RNA,40
14,4LA2a,medusaFTIR,8/31/2023 2:18:13 PM,70.4,ng/µl,1.76,0.945,1.86,1.16,RNA,40
15,3HA2a,medusaFTIR,8/31/2023 2:19:55 PM,78.4,ng/µl,1.959,1.183,1.66,0.89,RNA,40
16,2HH2a,medusaFTIR,8/31/2023 2:21:39 PM,12.3,ng/µl,0.307,0.156,1.97,2.46,RNA,40
17,1HH2a,medusaFTIR,8/31/2023 2:23:07 PM,66.4,ng/µl,1.661,0.831,2,2.39,RNA,40
18,1HA2a,medusaFTIR,8/31/2023 2:24:28 PM,45.2,ng/µl,1.131,0.568,1.99,2.2,RNA,40
19,3MA2a,medusaFTIR,8/31/2023 2:26:15 PM,35.5,ng/µl,0.887,0.48,1.85,1.63,RNA,40
20,3HH2a,medusaFTIR,8/31/2023 2:27:42 PM,29.8,ng/µl,0.745,0.377,1.97,2.36,RNA,40
